labels	source	f	m	kw_s	kw_f	kw_m	data_split
SCMP;DOBJ;FAM;PPA	The only criteria that disqualify from treatment without further assessment is if the person has a substance abuse problem or already has a child placed in care outside the home.	El único criterio que descalifica del tratamiento sin más examen es si la persona tiene un problema de drogadicción o si ya tiene a una hija puesta en custodia fuera del hogar.	El único criterio que descalifica del tratamiento sin más examen es si la persona tiene un problema de drogadicción o si ya tiene a un hijo puesto en custodia fuera del hogar.	[child] placed	una [hija] puesta	un [hijo] puesto	dev
SUBJ;PROF	The housekeeper was very nice and helpful.	La ama de llaves era muy agradable y servicial.	El amo de llaves era muy agradable y servicial.	housekeeper	la [ama de llaves]	el [amo de llaves]	dev
QUES;OPRP;PROF	What does the nationality of this candidate matter, as long as the candidate is competent, independent and credible?	¿Qué importa la nacionalidad de esta candidata, siempre que sea competente, independiente y que goce de credibilidad?	¿Qué importa la nacionalidad de este candidato, siempre que sea competente, independiente y que goce de credibilidad?	this [candidate]	esta [candidata]	este [candidato]	dev
SUBJ;PROF	One of the climbers came out ahead of the pack and went up the hill faster than the rest.	Una escaladora se distanció del pelotón y subió la colina más rápido que el resto.	Un escalador se distanció del pelotón y subió la colina más rápido que el resto.	one of the [climbers]	una [escaladora]	un [escalador]	dev
SUBJ;PROF	An instructor dependent on drugs can never be free to exercise such control.	Una instructora drogodependiente nunca puede ser libre.	Un instructor drogodependiente nunca puede ser libre.	instructor	una [instructora]	un [instructor]	dev
QUES;OPRP;PROF;PLUR	Would you like to join our team of professional translators?	¿Te gustaría formar parte de nuestro equipo de traductoras profesionales?	¿Te gustaría formar parte de nuestro equipo de traductores profesionales?	professional [translators]	[traductoras] profesionales	[traductores] profesionales	dev
SUBJ;NAT;PROF;APRD;PPA	The Salvadoran President has also seemed worried by the human aspects of the conflict.	La presidenta salvadoreña también se ha mostrado preocupada por los aspectos humanos del conflicto.	El presidente salvadoreño también se ha mostrado preocupado por los aspectos humanos del conflicto.	salvadoran [president]=worried	la [presidenta] salvadoreña=preocupada	el [presidente] salvadoreño=preocupado	dev
SUBJ;NAT;FAM	My Japanese neighbor prepared a delicious dish for me.	Mi vecina japonesa me preparó un plato delicioso.	Mi vecino japonés me preparó un plato delicioso.	japanese [neighbor]	[vecina] japonesa	[vecino] japonés	dev
SUBJ;PROF;PLUR;APRD;PPA;PLUR	On the one hand, these workers have to deal with the regulations of two different countries: their country of employment and their country of residence.	Por un lado, estas trabajadoras se encontraban enfrentadas a las normativas de dos países diferentes: la del país en el que trabajan y la del país en el que residen.	Por un lado, estos trabajadores se encontraban enfrentados a las normativas de dos países diferentes: la del país en el que trabajan y la del país en el que residen.	these [workers]=deal	estas [trabajadoras]=enfrentadas	estos [trabajadores]=enfrentados	dev
SCMP;SUBJ;PROF;PLUR	It was a last resort, so railway employees will start the strike at midnight.	Era el último recurso, así que las empleadas ferroviarias iniciarán la huelga a medianoche.	Era el último recurso, así que los empleados ferroviarios iniciarán la huelga a medianoche.	railway [employees]	las [empleadas] ferroviarias	los [empleados] ferroviarios	dev
SCMP;SUBJ;PROF	In some cases, claimable expenditure which differed from the amount which the project manager stated in the final report was identified.	En éste se constataron en algunos casos gastos subvencionables que se diferenciaron del importe que la directora del proyecto mencionó en el informe final.	En éste se constataron en algunos casos gastos subvencionables que se diferenciaron del importe que el director del proyecto mencionó en el informe final.	project [manager]	la [directora] del proyecto	el [director] del proyecto	dev
SUBJ;PROF;POSS;POSC	When the municipality asked me recently for the plans it did not have, an architect friend of mine had to spend a month trying to find the way to decipher it.	Cuando el ayuntamiento me pidió hace poco los planos que no tenía, una arquitecta amiga mía tuvo que pasar un mes intentando encontrar la manera de descifrarlos.	Cuando el ayuntamiento me pidió hace poco los planos que no tenía, un arquitecto amigo mío tuvo que pasar un mes intentando encontrar la manera de descifrarlos.	[architect] friend of mine	una [arquitecta] amiga mía	un [arquitecto] amigo mío	dev
SUBJ;OTH;AATR;PPA	The thief was arrested by the police.	La ladrona fue arrestada por la policía.	El ladrón fue arrestado por la policía.	thief=arrested	la [ladrona]=arrestada	el [ladrón]=arrestado	dev
SUBJ;FAM;PLUR	Kids with dyslexia can also struggle to understand what they read.	Las niñas con dislexia también pueden tener problemas para entender lo que leen.	Los niños con dislexia también pueden tener problemas para entender lo que leen.	kids	las [niñas]	los [niños]	dev
SUBJ;OTH;PLUR	The Union's citizens will therefore fail to understand why such a serious misdemeanor is not punished.	Por ello, las ciudadanas europeas no comprenderían la falta de sanciones ante una negligencia de tanta importancia.	Por ello, los ciudadanos europeos no comprenderían la falta de sanciones ante una negligencia de tanta importancia.	union's [citizens]	las [ciudadanas] europeas	los [ciudadanos] europeos	dev
FAM;IOBJ	Lucia bought a book for her invisible friend.	Lucía compró un libro a su amiga invisible.	Lucía compró un libro a su amigo invisible.	invisible [friend]	[amiga] invisible	[amigo] invisible	dev
SUBJ;PROF	The boss always arrives first thing in the morning.	La jefa llega siempre a primera hora.	El jefe llega siempre a primera hora.	boss	la [jefa]	el [jefe]	dev
SCMP;SUBJ;DROP;SCMP;RSCMP;PROF	You never told me you were a sculptress.	Nunca me dijiste que eras escultora.	Nunca me dijiste que eras escultor.	you=sculptress	(tú)=escultora	(tú)=escultor	dev
HEAD;SUBJ;PROF	Ocean photographer of the year 2021.	Fotógrafa oceánica del año 2021.	Fotógrafo oceánico del año 2021.	ocean [photographer]	[fotógrafa] oceánica	[fotógrafo] oceánico	dev
SUBJ;FAM	Your best friend has started using illegal drugs.	Tu mejor amiga ha comenzado a consumir drogas.	Tu mejor amigo ha comenzado a consumir drogas.	friend	amiga	amigo	dev
SUBJ;PROF;DIFF	It took seven years for the filmmaker to finish the documentary.	La cineasta tardó siete años en filmar el documental.	El cineasta tardó siete años en filmar el documental.	filmmaker	la [cineasta]	el [cineasta]	dev
SUBJ;PROF	When I graduated from high school, I wanted to study electrical engineering at the Universidad de Costa Rica, and the counselor told me that I couldn't study that because there were no women in the electrical engineering program.	Cuando acabé la secundaria, quise estudiar ingeniería eléctrica en la Universidad de Costa Rica, pero la asesora pedagógica me dijo que no podía ser porque no había mujeres que cursasen los estudios de ingeniería eléctrica.	Cuando acabé la secundaria, quise estudiar ingeniería eléctrica en la Universidad de Costa Rica, pero el asesor pedagógico me dijo que no podía ser porque no había mujeres que cursasen los estudios de ingeniería eléctrica.	counselor	la [asesora pedagógica]	el [asesor pedagógico]	dev
QUES;SCMP;SUBJ;OTH;SCMP;AATR;PPA	Can you tell if a particular scout committed suicide or was murdered?	¿Pueden decir si una exploradora particular se suicidó o fue asesinada?	¿Pueden decir si un explorador particular se suicidó o fue asesinado?	particular [scout]=murdered	una [exploradora] particular=asesinada	un [explorador] particular=asesinado	dev
SCMP;SUBJ;FAM	Show them the notes your child took in class that week.	Muéstreles los apuntes que su hija tomó en clase esa semana.	Muéstreles los apuntes que su hijo tomó en clase esa semana.	child	hija	hijo	dev
SUBJ;FAM;PLUR	These children have no choice but to work.	Estas niñas no tienen otra opción más que trabajar.	Estos niños no tienen otra opción más que trabajar.	these [children]	estas [niñas]	estos [niños]	dev
QUES;DOBJ;OTH	First of all, is there any vegetarian here?	En primer lugar, ¿Hay alguna vegetariana aquí?	En primer lugar, ¿Hay algún vegetariano aquí?	any [vegetarian]	alguna [vegetariana]	algún [vegetariano]	dev
SCMP;POSS;POSC;SUBJ;OTH;RSCMP;PROF	It should be noted that our hero is not only a violinist.	Cabe señalar que nuestra heroína no es solo una violinista.	Cabe señalar que nuestro héroe no es solo un violinista.	our [hero]=violinist	nuestra [heroína]=una [violinista]	nuestro [héroe]=un [violinista]	dev
SUBJ;NAT	The arrogant gypsy insisted that they were able to tell the future.	La gitana arrogante aseguraba que sí adivinaba el futuro.	El gitano arrogante aseguraba que sí adivinaba el futuro.	arrogant [gypsy]	la [gitana] arrogante	el [gitano] arrogante	dev
SUBJ;PROF	The mayor did not attend the meeting.	La alcaldesa no fue a la reunión.	El alcalde no fue a la reunión.	mayor	la [alcaldesa]	el [alcalde]	dev
SUBJ;PROF	According to your body the tailor will make the coat.	De acuerdo con su cuerpo la sastra confeccionará el abrigo.	De acuerdo con su cuerpo el sastre confeccionará el abrigo.	tailor	la [sastra]	el [sastre]	dev
SUBJ;PROF	The researcher featured on the cover of a well-known scientific journal.	La investigadora apareció en la portada de una reconocida revista científica.	El investigador apareció en la portada de una reconocida revista científica.	researcher	la [investigadora]	el [investigador]	dev
OPRP;FAM;PPA	He shared his toys with a disabled child.	Compartió sus juguetes con una niña discapacitada.	Compartió sus juguetes con un niño discapacitado.	disabled [child]	una [niña] discapacitada	un [niño] discapacitado	dev
SUBJ;PROF;PLUR	Independent employees is a contradiction in itself.	«Las empleadas independientes» es una contradicción en sí misma.	«Los empleados independientes» es una contradicción en sí misma.	independent [employees]	las [empleadas] independientes	los [empleados] independientes	dev
SUBJ;PROF	No teacher wants to see cell phones.	Ninguna maestra quiere ver móviles.	Ningún maestro quiere ver móviles.	no [teacher]	ninguna [maestra]	ningún [maestro]	dev
OPRP;FAM	I told him we could celebrate without a certain neighbor.	Le dije que podíamos celebrar sin cierta vecina.	Le dije que podíamos celebrar sin cierto vecino.	certain [neighbor]	cierta [vecina]	cierto [vecino]	dev
SUBJ;POSS;POSC;PROF;PLUR;AATR;PLUR	In reading and math, our candidates were already the best in the nation.	En lectura y matemáticas, nuestras candidatas ya eran las mejores en la nación.	En lectura y matemáticas, nuestros candidatos ya eran los mejores en la nación.	our [candidates]=best	nuestras [candidatas]=las mejores	nuestros [candidatos]=los mejores	dev
SUBJ;OTH;PLUR	Guests at the villa can enjoy a buffet or an Asian breakfast.	Las huéspedes de la villa pueden disfrutar de un buffet o un desayuno asiático.	Los huéspedes de la villa pueden disfrutar de un buffet o un desayuno asiático.	guests	las [huéspedes]	los [huéspedes]	dev
SCMP;SUBJ;PROF	My mother was confused, so the teacher went on to explain.	Mi madre estaba confundida, así que la profesora le explicó.	Mi madre estaba confundida, así que el profesor le explicó.	teacher	la [profesora]	el [profesor]	dev
