labels	source	ff	fm	mf	mm	kw_s	kw_f	kw_m
SUBJ;PROF;DOBJ	The instructor personally monitors the trainee throughout the training.	La formatrice surveille personnellement l’apprentie tout au long de la formation.	La formatrice surveille personnellement l’apprenti tout au long de la formation.	Le formateur surveille personnellement l’apprentie tout au long de la formation.	Le formateur surveille personnellement l’apprenti tout au long de la formation.	instructor;trainee	la [formatrice];apprentie	le [formateur];apprenti
SUBJ;PLUR;SCMP;FAM;OTH;AATR	The intimate did not feel comfortable about the interview, as there were countless viewers.	L’intime ne se sentait pas à l’aise avec l’interview, car il y avait d’innombrables téléspectatrices.	L’intime ne se sentait pas à l’aise avec l’interview, car il y avait d’innombrables téléspectateurs.	L’intime ne se sentait pas à l’aise avec l’interview, car il y avait d’innombrables téléspectatrices.	L’intime ne se sentait pas à l’aise avec l’interview, car il y avait d’innombrables téléspectateurs.	intimate;viewers	intime;téléspectatrices	intime;téléspectateurs
SUBJ;PLUR;DOBJ;OTH;PROF	The investigators surprised the criminals at their homes and dormitories.	Les enquêteuses ont surpris les criminelles dans leurs maisons et dortoirs.	Les enquêteuses ont surpris les criminels dans leurs maisons et dortoirs.	Les enquêteurs ont surpris les criminelles dans leurs maisons et dortoirs.	Les enquêteurs ont surpris les criminels dans leurs maisons et dortoirs.	investigators;criminals	enquêteuses;criminelles	enquêteurs;criminels
SUBJ;NAT;OPRP;PROF	The Iranian checked the data for the questioner.	L’Iranienne a vérifié les données pour la questionneuse.	L’Iranienne a vérifié les données pour le questionneur.	L’Iranien a vérifié les données pour la questionneuse.	L’Iranien a vérifié les données pour le questionneur.	Iranian;questioner	Iranienne;la [questionneuse]	Iranien;le [questionneur]
SUBJ;PLUR;REL;ANAN;DFCL;PROF	The Israelites left ruins that archeologists have been dying to discover these past decades.	Les Israélites ont laissé des ruines que les archéologues meurent de découvrir ces dernières décennies.	Les Israélites ont laissé des ruines que les archéologues meurent de découvrir ces dernières décennies.	Les Israélites ont laissé des ruines que les archéologues meurent de découvrir ces dernières décennies.	Les Israélites ont laissé des ruines que les archéologues meurent de découvrir ces dernières décennies.	Israelites;archeologists	Israélites;archéologues	Israélites;archéologues
SUBJ;PLUR;ANAN;DFCL;NAT;PROF	Italians don't expect their politicians to solve every problem.	Les Italiennes ne s’attendent pas à ce que leurs politiciennes résolvent chaque problème.	Les Italiennes ne s’attendent pas à ce que leurs politiciens résolvent chaque problème.	Les Italiens ne s’attendent pas à ce que leurs politiciennes résolvent chaque problème.	Les Italiens ne s’attendent pas à ce que leurs politiciens résolvent chaque problème.	Italians;politicians	Italiennes;politiciennes	Italiens;politiciens
SUBJ;SCMP;FAM;ANAN;PROF	Like a jealous twin, the theorist had a numeric approach to life.	Comme une jumelle jalouse, la théoricienne avait une approche numérique de la vie.	Comme une jumelle jalouse, le théoricien avait une approche numérique de la vie.	Comme un jumeau jaloux, la théoricienne avait une approche numérique de la vie.	Comme un jumeau jaloux, le théoricien avait une approche numérique de la vie.	jealous [twin];theorist	une [jumelle] jalouse;la [théoricienne]	un [jumeau] jaloux;le [théoricien]
PLUR;ANAN;IOBJ;PROF;GLNK	Audi grants to its jobholders and apprentices numerous opportunities.	Audi accorde à ses salariées et apprenties de nombreuses opportunités.	Audi accorde à ses salariées et apprentis de nombreuses opportunités.	Audi accorde à ses salariés et apprenties de nombreuses opportunités.	Audi accorde à ses salariés et apprentis de nombreuses opportunités.	jobholders;apprentices	salariées;apprenties	salariés;apprentis
SUBJ;DOBJ;ANAN;OTH;PROF	The consequences of a conviction include the various types and levels of punishment with which a judge may decide to sentence a young offender.	Les conséquences d’une condamnation comprennent les divers types et niveaux de peines avec lesquels une juge peut décider de condamner une jeune coupable.	Les conséquences d’une condamnation comprennent les divers types et niveaux de peines avec lesquels une juge peut décider de condamner un jeune coupable.	Les conséquences d’une condamnation comprennent les divers types et niveaux de peines avec lesquels un juge peut décider de condamner une jeune coupable.	Les conséquences d’une condamnation comprennent les divers types et niveaux de peines avec lesquels un juge peut décider de condamner un jeune coupable.	judge;offender	une [juge];une jeune [coupable]	un [juge];un jeune [coupable]
SUBJ;PLUR;PROF;GLNK	Do jurists and lawyers have to work together?	Est-ce que les juristes et les avocates doivent travailler ensemble ?	Est-ce que les juristes et les avocats doivent travailler ensemble ?	Est-ce que les juristes et les avocates doivent travailler ensemble ?	Est-ce que les juristes et les avocats doivent travailler ensemble ?	jurists;lawyers	juristes;avocates	juristes;avocats
SUBJ;ANAN;NAT;PLUR;GLNK	Kenyans and Malaysians were there to debate on the role of information in a sustainable development context.	Des Kényanes et Malaisiennes étaient là pour débattre du rôle de l’information dans un contexte de développement durable.	Des Kényanes et Malaisiens étaient là pour débattre du rôle de l’information dans un contexte de développement durable.	Des Kényans et Malaisiennes étaient là pour débattre du rôle de l’information dans un contexte de développement durable.	Des Kényans et Malaisiens étaient là pour débattre du rôle de l’information dans un contexte de développement durable.	Kenyans;Malaysians	Kényanes;Malaisiennes	Kényans;Malaisiens
DOBJ;FAM;IOBJ;AATR;IMPR;IPRO	Talk about every kin and name each.	Parlez de chaque proche et nommez chacune.	Parlez de chaque proche et nommez chacun.	Parlez de chaque proche et nommez chacune.	Parlez de chaque proche et nommez chacun.	kin;each	proche;chacune	proche;chacun
ANAN;SUBJ;PLUR;PROF;DFCL;DEMO	These laborers have longer hours than those in other industrial countries.	Ces journalières ont des horaires plus longs que celles dans les autres pays industriels.	Ces journalières ont des horaires plus longs que ceux dans les autres pays industriels.	Ces journaliers ont des horaires plus longs que celles dans les autres pays industriels.	Ces journaliers ont des horaires plus longs que ceux dans les autres pays industriels.	laborers;those	journalières;celles	journaliers;ceux
SUBJ;PLUR;DOBJ;REL;DEMO	The layperson should support those who are starting the pathway or the process.	La laïque doit soutenir celles qui commencent le chemin ou le processus.	La laïque doit soutenir ceux qui commencent le chemin ou le processus.	Le laïc doit soutenir celles qui commencent le chemin ou le processus.	Le laïc doit soutenir ceux qui commencent le chemin ou le processus.	layperson;those	la [laïque];celles	le [laïc];ceux
APRD;SUBJ;OTH;DFCL;PROF	The lender is free to determine the interests that the borrower will pay.	La prêteuse est libre de déterminer les intérêts que l’emprunteuse paiera.	La prêteuse est libre de déterminer les intérêts que l’emprunteur paiera.	Le prêteur est libre de déterminer les intérêts que l’emprunteuse paiera.	Le prêteur est libre de déterminer les intérêts que l’emprunteur paiera.	lender;borrower	la [prêteuse];emprunteuse	le [prêteur];emprunteur
ANAN;PROF;OPRP	The strike was approved by the lieutenant then the commander.	La frappe a été approuvée par la lieutenante puis la commandante.	La frappe a été approuvée par la lieutenante puis le commandant.	La frappe a été approuvée par le lieutenant puis la commandante.	La frappe a été approuvée par le lieutenant puis le commandant.	lieutenant;commander	la [lieutenante];la [commandante]	le [lieutenant];le [commandant]
ANAN;SUBJ;PLUR;FAM	For little ones traveling long-haul services, the adult fare must be paid, as this age group requires continuous care during the flight.	Pour les petites qui voyagent avec les services long-courriers, un tarif adulte doit être payé, comme cette tranche d’âge nécessite une surveillance permanente pendant le vol.	Pour les petites qui voyagent avec les services long-courriers, un tarif adulte doit être payé, comme cette tranche d’âge nécessite une surveillance permanente pendant le vol.	Pour les petits qui voyagent avec les services long-courriers, un tarif adulte doit être payé, comme cette tranche d’âge nécessite une surveillance permanente pendant le vol.	Pour les petits qui voyagent avec les services long-courriers, un tarif adulte doit être payé, comme cette tranche d’âge nécessite une surveillance permanente pendant le vol.	little;adult	petites;adulte	petits;adulte
SUBJ;PLUR;FAM;ANAN;IOBJ;DFCL;IMPR	Offer the little ones sports bags when they start primary school.	Offrez aux petites des sacs de sport lorsqu’elles entrent à l’école primaire.	Offrez aux petites des sacs de sport lorsqu’ils entrent à l’école primaire.	Offrez aux petits des sacs de sport lorsqu’elles entrent à l’école primaire.	Offrez aux petits des sacs de sport lorsqu’ils entrent à l’école primaire.	little;they	petites;elles	petits;ils
SUBJ;NAT;PLUR;DFCL;PERS	That's the project the Luxembourger wants them to work on.	C’est le projet sur lequel la Luxembourgeoise veut qu’elles travaillent.	C’est le projet sur lequel la Luxembourgeoise veut qu’ils travaillent.	C’est le projet sur lequel le Luxembourgeois veut qu’elles travaillent.	C’est le projet sur lequel le Luxembourgeois veut qu’ils travaillent.	Luxembourger;them	la [Luxembourgeoise];elles	le [Luxembourgeois];ils
SUBJ;PLUR;PROF;AATR;GLNK	Magicians and other entertainers were in the show.	Des magiciennes et d’autres amuseuses étaient dans le spectacle.	Des magiciennes et d’autres amuseurs étaient dans le spectacle.	Des magiciens et d’autres amuseuses étaient dans le spectacle.	Des magiciens et d’autres amuseurs étaient dans le spectacle.	magicians;entertainers	magiciennes;amuseuses	magiciens;amuseurs
SUBJ;PLUR;PROF;OPRP	The managing director opened the market today with the stockholders.	La directrice générale a ouvert le marché aujourd’hui avec les actionnaires.	La directrice générale a ouvert le marché aujourd’hui avec les actionnaires.	Le directeur général a ouvert le marché aujourd’hui avec les actionnaires.	Le directeur général a ouvert le marché aujourd’hui avec les actionnaires.	managing [director];stockholders	la [directrice] générale;actionnaires	le [directeur] général;actionnaires
PLUR;ANAN;OTH;IPRO;PPA;FRAG;OPRP	How being espoused is experienced by many	Comment être épousée est vécu par plusieurs	Comment être épousé est vécu par plusieurs	Comment être épousée est vécu par plusieurs	Comment être épousé est vécu par plusieurs	many;espoused	plusieurs;épousée	plusieurs;épousé
SUBJ;PLUR;REL;AATR;OPRP;PROF	And yet, many Christians work with scientists.	Et pourtant, de nombreuses chrétiennes travaillent avec des scientifiques.	Et pourtant, de nombreuses chrétiennes travaillent avec des scientifiques.	Et pourtant, de nombreux chrétiens travaillent avec des scientifiques.	Et pourtant, de nombreux chrétiens travaillent avec des scientifiques.	many [Christians];scientists	nombreuses [chrétiennes];scientifiques	nombreux [chrétiens];scientifiques
